invoice,order_value
536365,139.12
536366,22.2
536367,278.73
536368,70.05
536369,17.85
536370,855.86
536371,204
536372,22.2
536373,259.86
536374,350.4
536375,259.86
536376,328.8
536377,22.2
536378,444.98
536380,34.8
536381,449.98
536382,430.6
536384,489.6
536385,130.85
536386,508.20000000000005
536387,3193.92
536388,226.14
536389,358.25
536390,1825.74
536392,318.14
536393,79.6
536394,1024.68
536395,507.88
536396,376.36
536397,279
536398,426.56
536399,22.2
536400,17.4
536401,354.23
536402,357
536403,192.60000000000002
536404,471.3
536405,326.4
536406,353.14
536407,22.2
536408,783.11
536409,243.28
536412,514.41
536415,390.79
536416,225.7
536420,233.45000000000002
536423,303.90000000000003
536425,362.45
536437,842.12
536446,440.89
536460,295.54
536463,17.4
536464,277.35
536466,42.9
536477,2474.7400000000002
536488,165.89
536500,223.9
536502,95.29
536508,155.52
536514,295.5
536520,313.49
536521,4.95
536522,191.06
536523,203.3
536524,70.80000000000001
536525,136.24
536526,301.24
536527,261.48
536528,313.93
536529,161
536530,201.75
536531,950.09
536532,1919.14
536533,156.1
536534,115.65
536535,194.85
536536,165.04999999999998
536537,369.5
536538,255
536539,487.75
536540,540.38
536541,15
536542,787.4
536551,146.61
536556,101.55
536557,537.38
536559,215.15
536560,799.4
536561,322.40000000000003
536562,308.65000000000003
536563,172.54
536564,51.4
536566,116.25
536567,251.40000000000003
536568,5.04
536569,357.95
536570,304.34000000000003
536571,294.62
536572,442.34999999999997
536573,143.12
536574,17.85
536575,1552.98
536576,2558.42
536577,497
536578,279.6
536579,315.96000000000004
536580,97.19999999999999
536581,330
536582,304.04
536583,198
536584,1132.8000000000002
536585,19.9
536586,344.2
536587,311.81
536588,277.05
536590,205.86
536591,198.32
536593,81.75
536594,79.50000000000001
536595,349.15000000000003
536597,102.78999999999999
536598,160.6
536599,306.4
536600,251.62
536601,22.2
536602,163.76
536603,22.2
536604,184.5
536605,272.65000000000003
536607,303.97
536608,38.1
536609,244.46
536610,22.2
536611,259.65000000000003
536612,206.76
536613,208.97
536614,22.2
536615,286.92
536616,244.08
536617,1095.1200000000001
536618,780.12
536619,97.2
536620,485.25
536621,350.06
536623,768.38
536624,610.64
536626,12.6
536627,306.2
536628,230.56
536629,22.2
536630,244.46
536631,22.2
536632,312.8
536633,204.15
536634,193.78
536635,572.38
536636,106.2
536637,235.16
536638,1056.6299999999999
536639,288.5
536641,4.25
536643,223.7
536663,299.40000000000003
536667,362.5
536670,58
536671,136.2
536672,127.2
536673,339.84
536674,127.08
536676,207.5
536681,113.92
536685,380.46000000000004
536688,22.2
536690,331.26
536693,22.2
536698,326
536707,199.65
536732,354.54
536733,329.65
536735,211.2
536736,824.88
536738,98.18
536739,201.75
536740,92.75
536741,202.12
536742,198.08
536743,261.76
536744,379.75
536745,341.9
536746,248.1
536747,100.2
536748,116
536749,353.19
536750,434.8
536751,22.2
536752,390.66
536753,22.2
536754,210.24
536759,311.25
536761,98.9
536762,307.68
536763,452.52
536769,668.4
536771,118.38
536777,138.1
536778,193.23
536779,15
536781,50.400000000000006
536782,517.9499999999999
536783,4076.48
536784,2170.9
536785,2730.96
536786,324
536787,192.46
536788,75
536789,22.2
536790,532.01
536791,44.400000000000006
536792,30
536793,170.7
536794,322.8
536795,333.72
536796,375.65
536797,130.8
536798,717.1600000000001
536799,183.3
536800,236.97
536802,197.3
536803,22.5
536804,1714.25
536805,406.56
536806,45.12
536808,247.8
536809,1003.2
536810,303.96
536811,527.85
536813,189.8
536819,308.28000000000003
536821,143.45000000000002
536823,50.550000000000004
536824,408
536830,2002.4
536831,569.4
536832,164.8
536833,438.1
536834,35.400000000000006
536835,295
536836,263.3
536837,308.68
536838,37.2
536839,623.73
536840,155.35
536841,393.42
536842,263.62
536843,34.9
536844,189.3
536845,127.55
536846,413.1
536847,215.57999999999998
536848,534
536849,397.5
536851,1368.4
536852,89.14
536856,754.87
536857,128.03
536858,303.4
536859,294.25
536860,254.4
536861,303.5
536863,123.07
536874,232.26
536884,39.75
536890,322.2
536938,1680.8799999999999
536943,187.51
536944,620
536945,309.54
536946,841.94
536947,686.4
536954,425
536956,304.95000000000005
536957,791.7
536960,225.65
536967,76.5
536968,534
536969,528
536970,1314
536971,248.16
536972,230.25
536973,736.28
536974,336.24
536975,1705.65
536976,149.8
536977,108.78
536980,591.47
536981,101.14
536983,175.53
536984,339.54
536985,334.3
536986,124.14
536987,272.01
536988,254.39000000000001
536989,115.7
536990,131.8
536992,91.8
536993,110.35000000000001
536994,98.5
537022,427.8
537023,122.15
537026,346.09999999999997
537030,246.3
537031,135
537034,2355.1800000000003
